name,gid,state,county,area,perimeter,calc_area,boundbox_area,rect_area_fraction,boundcircle_area,boundcircle_ratio,calc_perimeter,perimcircle_area,perimcircle_area_ratio,areacircle_perim,areacircle_perim_ratio,convexhull_area,convexhull_ratio
North Slope,1,02,185,52.18164,60.2126,229618954909.682,927015918315.962,0.247696884565708,1488360433446.97,0.154276443897326,3373091.87822868,899605937869.982,0.25524392986262,1695941.75683845,1.98891964575289,268628349997.768,0.854783029831328
Yukon-Koyukuk,2,02,290,79.37216,63.92742,411668100723.687,758825728703.093,0.542506777448451,1271855172129.45,0.323675297112985,4126048.45519099,1346060621516.13,0.305831768750508,2270809.34733623,1.81699465876827,487852150849.643,0.843837830799201
Northwest Arctic,3,02,188,19.45577,42.40905,94421826463.401,241112850750.337,0.391608436338265,300937210723.877,0.31375922650535,2610747.52437591,538921762246.14,0.175205072569098,1087535.05304024,2.40061000064087,123925046413.778,0.761926900137137
Nome,4,02,180,10.64898,33.09832,55956357063.0786,170058935096.046,0.329040970599254,203336775905.737,0.275190539506826,2152296.67691886,366269066694.565,0.152773908995545,837204.939024242,2.57081220689805,99433176033.2984,0.562753391728529
Nome,5,02,180,0.00235332,0.3054547,11803062.0306532,27692672.1003228,0.426216075786911,53423348.3196831,0.220934523984236,18782.2650948344,27892786.5488121,0.423158224439067,12159.1834296716,1.54469789879153,15237267.2943881,0.774618033707415
Southeast Fairbanks,6,02,240,12.40471,24.1614,67964435189.3521,170641191587.692,0.398288564191286,181145687064.657,0.375192124585849,1692343.34188809,226450313235.301,0.300129570228199,922673.232193931,1.83417409635266,92552720467.8777,0.734332117368074
Nome,7,02,180,0.001788844,0.1761566,9143532.32155101,16122901.9760366,0.567114551408985,16621528.4045932,0.550101777585284,12000.5949626386,11386795.6657503,0.802994326933725,10701.9783379602,1.12134360430092,9143532.32155101,1
Fairbanks North Star,8,02,090,3.639982,13.02252,19282840750.358,45516135384.3148,0.423648461969445,59517170459.1698,0.323987861008723,818910.418898613,53023545577.6058,0.363665623267977,491464.975056875,1.66626404822408,22807025061.6243,0.8454781234403
Nome,9,02,180,0.001547961,0.1810436,8149727.59378945,14905139.9269896,0.546772967829191,16361070.9333523,0.498117001447388,11684.32959027,10794525.8211179,0.754987085939957,10103.6574035541,1.1564455447747,8149727.59378945,1
Nome,10,02,180,0.8657405,7.024437,4824098836.79907,18875390026.015,0.255576114196859,26776129031.0051,0.180164161563946,458823.510711711,16645134114.4729,0.289820364535516,245818.839423158,1.86651076780117,8149158443.41547,0.591975094151832
Matanuska-Susitna,11,02,170,11.20624,17.24338,64784949467.3338,128708186758.788,0.503347542209941,147134469524.423,0.440311163500542,1184059.11108563,110851797419.338,0.584428498008568,900832.66882056,1.31440516320961,71014259246.3452,0.912280859574945
Wade Hampton,12,02,270,8.050981,18.27117,46773695965.357,89070392748.7991,0.525131803306073,102458221956.595,0.456514812302444,1265591.51601412,126643551536.807,0.369333419647213,765434.2823425,1.65342936057287,56827407177.2969,0.823083407965928
Valdez-Cordova,13,02,261,16.00871,34.38048,95031207555.4627,219930939862.714,0.432095673372665,197105884037.344,0.482132778631094,2513820.7396282,499648492474.443,0.190196125850062,1091038.78457192,2.30406175763451,128173422219.075,0.741426778736034
Bethel,14,02,050,17.56685,35.86595,106065454272.419,307552421730.074,0.344869514197837,464450081139.01,0.22836782375472,2499595.06252976,494009485344.214,0.214703274773186,1152640.94681849,2.16858083120257,164465441520.899,0.644910282011684
Anchorage,15,02,020,0.7928452,4.281988,4758904372.74459,8604699792.50112,0.553058733890044,8774255483.86151,0.542371302214489,306000.348530458,7403546591.26977,0.642787117508826,244152.150754524,1.25331825906427,5305525727.19529,0.896971312070205
Kenai Peninsula,16,02,122,3.253718,16.19777,20019149880.5964,76517160701.5061,0.261629544236374,94386181638.0779,0.212098312837355,1202348.09616022,114302679576.451,0.175141562339373,500760.28843334,2.40104521850533,36987274087.5277,0.541244262370419
Kenai Peninsula,17,02,122,3.575462,13.30349,22092653408.2026,38605695560.5696,0.572264094388374,49262732872.1075,0.448465850758991,1002845.33182187,79517713934.521,0.277833105544192,526054.821025101,1.90635137582745,26816378702.2052,0.823849247265659
Dillingham,18,02,070,7.766353,16.36675,48559944391.97,85475148306.4927,0.568117696828628,112580281926.922,0.431336141292409,1263545.27663214,126234361802.273,0.384680872138696,779912.99332926,1.62011056033105,56446061763.7233,0.860289325325057
Lake and Peninsula,19,02,164,10.45616,28.3546,67603432849.3484,194774170081.469,0.347086232332921,348913948214.027,0.193753884576377,2226241.2712922,391868568909.332,0.172515578469347,920219.517372027,2.41925022156661,101802406573.861,0.664065174140061
Valdez-Cordova,20,02,261,0.005248231,0.3100627,31934664.2745211,48863194.1300231,0.653552532598343,72988161.0855526,0.437532112051557,24416.0335034843,47135291.3579563,0.677510700676524,20000.3797973968,1.22077849274953,31934664.2745211,1
Valdez-Cordova,21,02,261,0.006062317,0.3339111,36948645.8468434,73960579.0945759,0.49957215450674,66378890.4257056,0.556632471707223,24857.3076238565,48854451.9261771,0.756300488288677,21513.2650808497,1.15544095842446,36948645.8468434,1
Bethel,22,02,050,0.05706117,1.837034,350121602.083596,1226321855.67117,0.2855054735137,2355647838.22982,0.148630706339662,126268.033226449,1260615965.97258,0.277738511596173,66224.1692342538,1.90667598682594,608992156.62237,0.574919723146292
Valdez-Cordova,23,02,261,0.01902913,1.03519,116349139.7477,324731728.174414,0.358293106749363,768799652.304226,0.151338699749644,68816.3106930643,374436988.325185,0.310730892981799,38175.8445578435,1.80261396938566,142517996.94105,0.816382086788846
Valdez-Cordova,24,02,261,0.03770066,1.388518,231972603.911079,771911664.171986,0.300517034108963,882230074.776941,0.262938898302384,108169.648562297,925138615.598189,0.250743618307498,53904.5486667844,2.00668869766365,372956094.36377,0.621983679625356
Valdez-Cordova,25,02,261,0.06153984,1.620006,378049370.447184,800995313.943276,0.471974509546203,1105444573.08985,0.341988535336954,107468.22979358,913179518.16047,0.413992389151189,68814.7164889952,1.56170417138558,457900433.313195,0.825614790778338
Bethel,26,02,050,0.6634631,4.403696,4111652385.16205,8473053111.11477,0.485262199025811,11314765502.3489,0.363388210238073,304986.057039637,7354547243.30454,0.559062611081223,226942.200018937,1.34389310147777,4665494228.48085,0.88128978063292
Valdez-Cordova,27,02,261,0.006284082,0.3454144,38681054.1153129,77691567.9236674,0.497879694657692,119288242.322977,0.324265437750206,27968.3971321649,61848778.5076599,0.625413388083683,22011.8333293806,1.2706073462238,38681054.1153129,1
Valdez-Cordova,28,02,261,0.1237887,2.563025,768197031.256848,2378591498.54658,0.322962993740729,4459572932.60047,0.172257981395742,187302.57286354,2773853100.0866,0.276942218473237,98094.2108248852,1.90941515598619,1160830074.44365,0.661765273117189
Skagway-Yakutat-Angoon,29,02,231,3.346151,20.98754,21226835755.0827,87832161344.5254,0.24167497907537,125330537222.879,0.169366829708345,1542320.54160762,188081143771.847,0.112859988669742,515643.675191142,2.99105877917712,37063539704.2351,0.572714746742261
Skagway-Yakutat-Angoon,30,02,231,0.1850397,1.894651,1164640677.92992,1663099100.01849,0.700283391360727,2654992259.48217,0.438660667943744,143986.328081568,1639224681.6958,0.710482639100507,120782.229740659,1.19211516785816,1216125153.45212,0.957665150353933
Haines,31,02,100,0.705204,6.69206,4499009353.14312,10667121665.8956,0.42176413601123,20330571255.5206,0.22129281546486,520423.477099649,21414588405.8007,0.21009086272816,237391.690638587,2.19225650105824,6971918816.64561,0.645304323165902
Skagway-Yakutat-Angoon,32,02,231,0.0007993033,0.1622545,5057763.41048593,15129477.4273536,0.334298619021808,18547259.6581364,0.272695994109683,11256.3715292855,10018271.7883405,0.504853882719798,7959.5097763509,1.41420412130533,5209841.60182669,0.970809440485207
Kenai Peninsula,33,02,122,0.006365446,0.4099042,40321683.5285896,91300745.9334295,0.441635860872259,109758384.926525,0.367367682711274,29745.7122264754,69959180.8407569,0.57636014378686,22473.7938964446,1.32357324106195,40321683.5285896,1
Haines,34,02,100,0.2357522,2.484182,1501902176.3218,2852411118.50394,0.526537765393907,4379428458.33811,0.34294479076654,181184.205032183,2595593280.17809,0.578635407862801,137160.13019033,1.32096845330172,1649283865.35144,0.910638979665127
Juneau,35,02,110,1.026248,6.955614,6672284610.48962,12438383909.3705,0.536426971470388,18538875275.948,0.359907735025659,554343.075271648,24297031968.0115,0.27461315519007,289097.507222243,1.91749517523684,7967021768.2628,0.837487935211768
Bristol Bay,36,02,060,0.2222276,2.487114,1432155357.89432,3401105485.37457,0.421085251266941,3596631857.49734,0.398193480633534,176806.873815243,2471691488.92968,0.57942318623045,133937.482428877,1.3200701596667,1572684633.82702,0.91064370255165
Kodiak Island,37,02,150,0.5201138,8.404577,3403981045.63276,9914491374.14185,0.343333905611209,35941999543.5635,0.0947076147365415,631437.374174391,31525104808.0452,0.107976835171824,206490.764382174,3.05794487256449,6600594250.1958,0.515708270589696
