name,gid,state,county,lsad,area,calc_area,boundbox_area,rect_area_fraction,boundcircle_area,boundcircle_ratio,perimeter,perimcircle_area,perimcircle_area_ratio,areacircle_perim,areacircle_perim_ratio,convexhull_area,convexhull_ratio
Cleburne,1,01,029,County,560.1,1453183540.41586,3197367590.63936,0.454493735618706,4062827091.43819,0.35767791926913,219940.501230057,3824779407.0191,0.37993917708013,134917.194081677,1.63018881860905,1893814113.07074,0.767331667023848
Coffee,2,01,031,County,678.972,1762487436.95077,2163562466.17411,0.814622856749512,2916165153.33236,0.604385329458019,173406.241369956,2377526800.96428,0.741311280375866,148583.327601252,1.1670639241256,1814102036.46247,0.971548127682857
Coosa,3,01,037,County,650.926,1726067733.3375,2167145367.15832,0.796470674969451,2815011811.75807,0.613165360844264,173998.842974002,2393804573.08606,0.721056243581438,147040.165340397,1.18334226958461,1766716116.67516,0.976992125133179
Covington,4,01,039,County,1030.456,2703621923.72302,3431483359.49433,0.787887231404621,4601914531.71981,0.587499377723695,241994.937480119,4630293631.77019,0.583898590182801,184026.363878101,1.31500146164066,2834446396.06248,0.953844788696232
Crenshaw,5,01,041,County,608.84,1582223227.96303,2345479516.75817,0.674584116662814,3947916055.7586,0.400774283347573,236472.519660869,4421374776.3204,0.357857749683867,140779.994314203,1.67973099312031,1914123868.88697,0.826604408252362
Dale,6,01,045,County,561.15,1457109094.08302,1979437281.17316,0.736122891056915,2733006755.2998,0.533152393881728,169759.872556254,2278589294.24768,0.639478600975398,135099.300291417,1.25655626779763,1561000829.0919,0.933445432524652
DeKalb,7,01,049,County,777.093,2016876201.46678,4188324974.03358,0.481547208960821,6055279249.34411,0.333077322847701,225060.062969011,4004910762.81049,0.503600784365895,158944.932445111,1.41596249409671,2294738424.41653,0.878913334960865
Escambia,8,01,053,County,945.08,2467974819.25617,3319633279.722,0.743448029133763,6715411526.2956,0.367509095993939,245670.150538488,4772003520.81196,0.517177912483234,175823.705053159,1.39725272234601,2544340679.59725,0.969985992460271
Fayette,9,01,057,County,627.66,1630038678.97326,2368637666.55263,0.688175613345562,2927860340.5955,0.556733754124939,184668.319121205,2696377930.88747,0.604529009194477,142891.376629822,1.29236853529385,1859223353.72111,0.876730961727026
Geneva,10,01,061,County,574.408,1499356581.29912,2061991695.17323,0.727139970936282,3907819964.76538,0.383681079174059,181166.172942349,2595076660.72837,0.577769668229487,137043.843583152,1.32195776333744,1512797731.38467,0.991115038179458
Henry,11,01,067,County,561.75,1472014134.43625,1999268646.07004,0.736276306503277,2602392010.68901,0.565638892369072,167096.074222983,2207641069.50725,0.666781459526305,135788.520190632,1.23056112540588,1593750885.84213,0.923616198436461
Lamar,12,01,075,County,604.846,1568548718.83007,1811466690.85862,0.865899840579784,3266055254.02141,0.480257863641086,171592.993520021,2328064846.34937,0.673756455405313,140170.322172725,1.22417492419384,1582252326.28845,0.991339176924754
Lauderdale,13,01,077,County,667.697,1867871643.9333,3148089174.41539,0.59333504880152,6658245478.33091,0.280535112442495,238201.644115889,4486270759.82058,0.416352856065245,152960.952716464,1.55727092362867,2227830015.43199,0.838426464763785
Lawrence,14,01,079,County,690.678,1857028753.21109,2329823201.08681,0.797068529639855,3190869040.34862,0.581982127667701,192734.316843709,2937068456.72311,0.632272887259487,152516.341641765,1.26369617031865,1928909420.58156,0.962735073713932
Autauga,15,01,001,County,594.436,1565423924.02716,2407521990.24589,0.650222066660034,2703058224.78025,0.579130671206474,208795.449716545,3446974187.32098,0.454144370963167,140030.631945242,1.49106982390962,1802126877.97957,0.86865355772409
Baldwin,16,01,003,County,1589.784,4351234675.58244,8139291423.61658,0.534596250351364,12267235219.3779,0.354703777808794,437818.686238236,15155998667.4071,0.28709653326506,233460.450243432,1.87534413551296,5917261222.56955,0.735346051478345
Barbour,17,01,005,County,884.876,2342673532.74412,3837031937.79049,0.610543141346153,5271701455.08723,0.4443866088971,257984.90644061,5262408621.07677,0.4451713467026,171302.204059293,1.50602210787266,2724610217.16871,0.859819697504663
Bibb,18,01,007,County,622.582,1622177736.41484,2541051484.02007,0.638388378439493,2795197126.18534,0.58034466378715,190793.750991528,2878221838.64366,0.563604137330595,142546.409838847,1.33846759948024,1810667374.2081,0.895900461631889
Blount,19,01,009,County,644.776,1685121428.9283,3280381393.06545,0.513696801381253,3715199654.14242,0.453574931578549,238065.400493197,4481140224.45176,0.376047466609788,145285.631701946,1.63860250806899,2054872441.66039,0.82006133070074
Bullock,20,01,011,County,622.805,1619241378.28568,2590023826.70055,0.625183969966964,2803136857.30516,0.577653343633876,206934.084318899,3385790099.97578,0.478246238092923,142417.337392835,1.45301188820926,2010421359.79243,0.805423883107203
Choctaw,21,01,023,County,913.5,2385561504.46646,3421158212.55227,0.697296458174254,5638466757.28208,0.423086914786809,274844.54163019,5972693163.97965,0.399411360833568,172863.130774454,1.58995466759652,2873493816.66414,0.830195454269631
Clarke,22,01,025,County,1238.465,3244250405.62299,5842915128.13714,0.555245170343136,6938607863.74212,0.467565031679612,386173.986049641,11791308479.6903,0.275139134152157,201587.801810615,1.91566147644409,4095110394.29708,0.792225384238967
Clay,23,01,027,County,603.961,1569298162.52049,2379988310.16167,0.659372214485328,3395554881.12014,0.462162508768761,203856.172025552,3285819489.16,0.47759719232832,140203.804466653,1.45399886116528,1820147479.03348,0.862181872951202
Colbert,24,01,033,County,592.619,1611152967.99749,2358381964.1841,0.683160316041036,3787089403.48583,0.425433042725239,219427.981805038,3806974684.79719,0.423210843621179,142061.191606836,1.54460186714694,2018203393.86863,0.798310503734274
Conecuh,25,01,035,County,850.156,2208538426.45327,4392873179.97141,0.502754879545064,5102362871.66765,0.43284620909987,259702.282718458,5332704335.5101,0.414149798582826,166325.771024464,1.56140735809522,2914179636.03528,0.757859398625806
Cullman,26,01,043,County,734.841,1955460401.75571,3272147624.207,0.597607634597359,4225354425.63483,0.462792041749709,241708.120083696,4619324296.93573,0.423321740595889,156506.211346642,1.54439953535353,2164818345.23528,0.903290756963347
Dallas,27,01,047,County,978.695,2573836633.6312,4835651075.23504,0.532262686779173,4946019588.61831,0.520385450869234,303664.747641539,7290960190.54251,0.353017512970357,179555.021114493,1.6912072174685,3338356524.59189,0.770989142313327
Elmore,28,01,051,County,618.485,1701698605.79265,2442435572.80445,0.6967220035363,3092730505.59729,0.550225311488628,228863.255106369,4141408902.06457,0.410898475865139,145998.497664935,1.56757267209426,1996355658.70272,0.852402525759589
Etowah,29,01,055,County,534.991,1421159523.70684,2408743354.66442,0.590000392094422,2764294132.81163,0.51411299066838,205725.136992994,3346344832.54692,0.424690100638909,133422.317600156,1.54190948480986,1728054608.45298,0.822404290208814
Franklin,30,01,059,County,633.821,1674942039.70623,1905576229.93542,0.878968793477756,3305887923.58592,0.506654211643511,173079.643241685,2368579434.82443,0.707150461192103,144846.150254894,1.19492056183134,1685437564.13173,0.993772819207986
Greene,31,01,063,County,647.11,1709117499.1632,3303657941.65515,0.517340938240998,3973743725.02388,0.430102597809809,352687.971023898,9835065730.26586,0.173777943741002,146316.406282889,2.41044719443156,2376927436.49278,0.719044878242074
Hale,32,01,065,County,643.943,1700017755.42017,2482535727.26833,0.684790851848403,3315513810.41268,0.51274639547002,250878.761613275,4976497222.41786,0.341609304585166,145926.374946767,1.71921464988625,1993113824.24131,0.852945644520475
Jackson,33,01,071,County,1077.868,2918931198.74949,4337192948.79485,0.673000079362519,4894114770.55671,0.59641658105567,260864.013540411,5380520807.51837,0.542499751078144,191213.695334023,1.36425381604972,3114392947.48067,0.937239214181595
Jefferson,34,01,073,County,1111.276,2910746644.59491,5164897710.58668,0.563563270310009,5147616774.53472,0.565455194526987,290428.52712543,6669211897.60602,0.436445368550931,190945.429772835,1.52100276749722,3258071509.91467,0.893395567205075
Lowndes,35,01,085,County,715.911,1877876745.69241,2568623410.83397,0.731082936397716,2846539678.77783,0.659705100790546,234561.192188024,4350190665.51231,0.43167688271228,153370.067020506,1.52938051566909,2065427977.92495,0.909194978359419
Macon,36,01,087,County,608.885,1588222998.92099,2395527423.21804,0.662995123131359,2781173307.28403,0.571062218510927,202311.737443243,3236220697.43555,0.490764736836251,141046.659756088,1.43436035843103,1763109432.23273,0.900807953202161
Madison,37,01,089,County,801.593,2104894744.17037,2839323687.03739,0.741336661888896,3598512595.88033,0.584934660665106,240457.190933198,4571634590.75143,0.460424975440655,162376.156472915,1.48086514766906,2487448739.7736,0.846206279757126
